scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
10392,Scorzonera austriaca subsp. glabra (Rupr.) Lipsch. & Krasch. ex Lipsch.,눈쇠채,Compositae,국화과,Scorzonera,쇠채속,austriaca,glabra,자생종
4178,Asplenium wrightii D.C.Eaton ex Hook.,눈썹고사리,Aspleniaceae,꼬리고사리과,Asplenium,꼬리고사리속,wrightii,,자생종
10527,Artemisia fukudo Makino,눈쑥,Compositae,국화과,Artemisia,쑥속,fukudo,,자생종
13414,Potentilla multifida L.,눈양지꽃,Rosaceae,장미과,Potentilla,양지꽃속,multifida,,자생종
13389,Potentilla egedei var. groenlandica (Tratt.) Polunin,눈양지꽃,Rosaceae,장미과,Potentilla,양지꽃속,egedei,groenlandica,자생종
13896,Ludwigia ovalis Miq.,눈여뀌바늘,Onagraceae,바늘꽃과,Ludwigia,여뀌바늘속,ovalis,,자생종
14978,Pinus pumila (Pall.) Regel,눈잣나무,Pinaceae,소나무과,Pinus,소나무속,pumila,,자생종
14909,Taxus caespitosa Nakai,눈주목,Taxaceae,주목과,Taxus,주목속,caespitosa,,자생종
12255,Chamaecrista nomame (Siebold) H.Ohashi,눈차풀,Leguminosae,콩과,Chamaecrista,차풀속,nomame,,자생종
15026,Thuja koraiensis Nakai,눈측백,Cupressaceae,측백나무과,Thuja,눈측백속,koraiensis,,자생종
14681,Poa palustris L.,눈포아풀,Gramineae,벼과,Poa,포아풀속,palustris,,자생종
22262,Lespedeza macrovirgata Kitag.,눈해변싸리,Leguminosae,콩과,Lespedeza,싸리속,macrovirgata,,자생종
15049,Juniperus chinensis var. sargentii A.Henry,눈향나무,Cupressaceae,측백나무과,Juniperus,향나무속,chinensis,sargentii,자생종
30607,Juniperus chinensis var. sargentii 'Glauca',눈향나무 '글라우카',Cupressaceae,측백나무과,Juniperus,향나무속,chinensis,sargentii,재배품종
30608,Juniperus chinensis var. sargentii 'Viridis',눈향나무 '비리디스',Cupressaceae,측백나무과,Juniperus,향나무속,chinensis,sargentii,재배품종
8994,Arisaema peninsulae f. convolutum (Nakai) Y.S.Kim & S.T.Ko,눌맥이천남성,Araceae,천남성과,Arisaema,천남성속,peninsulae,convolutum,자생종
3511,Dryopteris tokyoensis (Matsum. ex Makino) C.Chr.,눌메기고사리,Dryopteridaceae,면마과,Dryopteris,관중속,tokyoensis,,자생종
8994,Arisaema peninsulae f. convolutum (Nakai) Y.S.Kim & S.T.Ko,눌메기천남성,Araceae,천남성과,Arisaema,천남성속,peninsulae,convolutum,자생종
16266,Lonicera japonica Thunb.,눙박나무,Caprifoliaceae,인동과,Lonicera,인동속,japonica,,자생종
2479,Aster novibelgii L.,뉴욕아스터,Compositae,국화과,Aster,참취속,novibelgii,,자생종
31665,Phormium tenax J.R.Forst. & G.Forst.,뉴질랜드삼,Liliaceae,백합과,Phormium,뉴질랜드삼속,tenax,,재배품종
31669,Phormium tenax 'Veitchianum',뉴질랜드삼 '베이트키아눔',Liliaceae,백합과,Phormium,뉴질랜드삼속,tenax,,재배품종
31667,Phormium tenax Purpureum Group,뉴질랜드삼 퍼퍼레움 그룹,Liliaceae,백합과,Phormium,뉴질랜드삼속,tenax,,재배품종
31666,Phormium tenax 'Purpureum Alpinus',뉴질랜드삼 '퍼퍼레움 알피누스',Liliaceae,백합과,Phormium,뉴질랜드삼속,tenax,,재배품종
8304,Arabis pendula L.,느러진장대,Cruciferae,십자화과,Arabis,장대나물속,pendula,,자생종
8304,Arabis pendula L.,느러진장때,Cruciferae,십자화과,Arabis,장대나물속,pendula,,자생종
1022,Ulmus davidiana var. japonica (Rehder) Nakai,느릅나무,Ulmaceae,느릅나무과,Ulmus,느릅나무속,davidiana,japonica,자생종
28601,Filipendula ulmaria (L.) Maxim.,느릅터리풀,Rosaceae,장미과,Filipendula,터리풀속,ulmaria,,재배품종
